iter	Passed	Remaining
0	0	59
1	1	93
2	2	95
3	3	87
4	4	87
5	5	88
6	6	89
7	7	89
8	8	85
9	9	84
10	10	84
11	11	81
12	12	81
13	13	81
14	14	80
15	15	80
16	16	80
17	17	78
18	18	76
19	18	75
20	19	74
21	20	72
22	21	71
23	22	70
24	22	68
25	23	67
26	24	65
27	24	64
28	25	62
29	26	61
30	26	60
31	27	58
32	28	57
33	28	55
34	29	54
35	29	53
36	30	52
37	31	50
38	31	49
39	32	48
40	32	47
41	33	45
42	33	44
43	34	43
44	34	42
45	35	41
46	35	40
47	36	39
48	36	38
49	37	37
50	37	36
51	38	35
52	38	34
53	39	33
54	39	32
55	40	31
56	40	30
57	41	29
58	41	28
59	42	28
60	42	27
61	43	26
62	44	25
63	44	25
64	45	24
65	46	23
66	46	22
67	47	22
68	47	21
69	48	20
70	48	19
71	49	19
72	50	18
73	50	17
74	51	17
75	51	16
76	52	15
77	52	14
78	53	14
79	53	13
80	54	12
81	55	12
82	55	11
83	56	10
84	57	10
85	57	9
86	58	8
87	58	8
88	59	7
89	59	6
90	60	5
91	61	5
92	61	4
93	62	3
94	62	3
95	63	2
96	63	1
97	64	1
98	64	0
99	65	0
