iter	Passed	Remaining
0	161	161028
1	162	81308
2	165	55018
3	168	41944
4	171	34059
5	173	28771
6	176	24971
7	177	22046
8	180	19913
9	183	18159
10	185	16715
11	188	15499
12	190	14435
13	192	13525
14	194	12768
15	197	12128
16	198	11499
17	200	10944
18	202	10446
19	203	9988
20	205	9571
21	206	9185
22	207	8834
23	209	8532
24	211	8244
25	212	7967
26	214	7717
27	215	7478
28	216	7253
29	217	7040
30	218	6842
31	219	6653
32	221	6483
33	222	6317
34	223	6168
35	225	6030
36	226	5890
37	227	5764
38	228	5635
39	229	5514
40	230	5399
41	232	5293
42	233	5189
43	234	5091
44	235	4993
45	236	4903
46	237	4815
47	238	4737
48	240	4662
49	241	4588
50	242	4516
51	243	4445
52	244	4374
53	245	4307
54	247	4244
55	248	4183
56	249	4122
57	250	4063
58	251	4005
59	252	3951
60	253	3902
61	254	3857
62	256	3808
63	257	3762
64	258	3716
65	259	3671
66	260	3627
67	261	3585
68	262	3544
69	263	3504
70	264	3465
71	265	3427
72	267	3391
73	268	3356
74	270	3332
75	271	3300
76	272	3268
77	273	3237
78	275	3207
79	276	3176
80	277	3145
81	278	3116
82	279	3083
83	280	3055
84	281	3027
85	282	3000
86	285	2992
87	286	2970
88	288	2948
89	289	2925
90	290	2901
91	291	2879
92	292	2855
93	294	2834
94	295	2812
95	296	2790
96	297	2769
97	299	2753
98	300	2738
99	302	2719
100	303	2702
101	305	2685
102	306	2667
103	307	2648
104	308	2630
105	309	2611
106	310	2595
107	312	2580
108	313	2566
109	315	2553
110	316	2536
111	318	2521
112	319	2506
113	320	2491
114	321	2476
115	322	2461
116	324	2445
117	325	2433
118	326	2419
119	328	2407
120	329	2396
121	330	2380
122	332	2367
123	333	2354
124	334	2341
125	335	2329
126	336	2314
127	338	2303
128	339	2291
129	340	2279
130	341	2266
131	343	2259
132	345	2249
133	346	2238
134	347	2227
135	348	2216
136	350	2205
137	351	2194
138	352	2183
139	353	2173
140	355	2163
141	355	2150
142	357	2141
143	359	2134
144	360	2124
145	361	2114
146	362	2104
147	364	2096
148	365	2086
149	366	2078
150	368	2069
151	369	2060
152	370	2051
153	371	2043
154	373	2037
155	375	2030
156	376	2021
157	377	2013
158	379	2005
159	380	1999
160	381	1990
161	383	1984
162	384	1976
163	386	1968
164	388	1965
165	389	1959
166	391	1952
167	392	1945
168	394	1939
169	395	1932
170	397	1925
171	398	1917
172	399	1910
173	401	1905
174	403	1901
175	404	1894
176	405	1887
177	407	1880
178	408	1873
179	410	1868
180	411	1861
181	412	1854
182	413	1847
183	415	1840
184	416	1834
185	418	1830
186	419	1824
187	421	1818
188	422	1811
189	423	1805
190	424	1798
191	425	1792
192	427	1785
193	428	1779
194	429	1772
195	430	1766
196	432	1763
197	433	1757
198	435	1752
199	436	1747
200	438	1741
201	439	1735
202	440	1730
203	441	1724
204	443	1718
205	444	1711
206	445	1705
207	446	1701
208	448	1697
209	449	1692
210	451	1687
211	452	1681
212	454	1677
213	455	1672
214	456	1666
215	457	1661
216	459	1656
217	460	1650
218	462	1647
219	463	1644
220	465	1639
221	466	1634
222	467	1629
223	468	1624
224	470	1619
225	471	1614
226	472	1610
227	474	1605
228	475	1600
229	478	1600
230	479	1596
231	481	1593
232	483	1590
233	484	1586
234	485	1581
235	487	1577
236	488	1573
237	490	1569
238	492	1569
239	494	1566
240	496	1562
241	497	1559
242	499	1555
243	500	1551
244	502	1547
245	503	1544
246	505	1541
247	507	1538
248	509	1536
249	510	1531
250	512	1528
251	513	1524
252	515	1520
253	516	1516
254	517	1513
255	519	1509
256	522	1509
257	523	1506
258	525	1502
259	526	1498
260	527	1494
261	529	1491
262	531	1488
263	532	1484
264	533	1480
265	535	1478
266	537	1475
267	538	1472
268	540	1468
269	541	1464
270	543	1460
271	544	1457
272	545	1453
273	546	1449
274	548	1445
275	549	1441
276	551	1439
277	553	1436
278	554	1432
279	555	1429
280	557	1425
281	558	1422
282	560	1419
283	561	1415
284	563	1412
285	564	1409
286	566	1407
287	568	1404
288	569	1400
289	570	1397
290	572	1393
291	573	1390
292	574	1386
293	576	1383
294	577	1380
295	578	1376
296	580	1373
297	582	1371
298	583	1369
299	585	1365
300	587	1364
301	588	1361
302	590	1357
303	591	1354
304	593	1351
305	594	1348
306	596	1346
307	598	1343
308	599	1341
309	601	1338
310	603	1335
311	604	1332
312	605	1329
313	607	1326
314	608	1323
315	610	1320
316	612	1318
317	613	1316
318	615	1313
319	618	1313
320	619	1310
321	620	1307
322	622	1304
323	623	1301
324	625	1298
325	627	1296
326	628	1293
327	630	1291
328	631	1287
329	632	1284
330	634	1281
331	635	1278
332	636	1275
333	638	1272
334	640	1270
335	641	1268
336	643	1266
337	645	1263
338	646	1260
339	647	1257
340	649	1254
341	650	1251
342	652	1249
343	653	1245
344	655	1243
345	657	1242
346	658	1239
347	660	1237
348	661	1234
349	663	1231
350	664	1229
351	666	1226
352	667	1223
353	669	1221
354	671	1219
355	672	1217
356	674	1214
357	676	1213
358	678	1210
359	679	1208
360	681	1205
361	682	1202
362	684	1201
363	686	1199
364	688	1197
365	689	1195
366	691	1192
367	692	1190
368	694	1187
369	695	1184
370	697	1182
371	699	1181
372	701	1179
373	702	1176
374	704	1173
375	705	1171
376	707	1168
377	708	1166
378	709	1163
379	711	1160
380	713	1159
381	715	1157
382	717	1155
383	718	1152
384	720	1150
385	721	1147
386	722	1145
387	724	1142
388	725	1140
389	727	1137
390	729	1135
391	731	1133
392	732	1131
393	734	1129
394	735	1126
395	737	1124
396	738	1122
397	740	1120
398	743	1119
399	745	1118
400	747	1115
401	748	1113
402	749	1111
403	751	1108
404	752	1106
405	754	1103
406	756	1101
407	758	1100
408	760	1098
409	761	1096
410	763	1094
411	765	1091
412	766	1089
413	768	1087
414	769	1084
415	771	1082
416	773	1081
417	775	1079
418	776	1077
419	778	1074
420	779	1072
421	781	1070
422	782	1067
423	784	1065
424	785	1063
425	787	1061
426	789	1058
427	790	1056
428	792	1054
429	793	1052
430	795	1050
431	796	1047
432	798	1045
433	799	1043
434	801	1041
435	803	1039
436	805	1037
437	806	1035
438	808	1033
439	809	1030
440	811	1028
441	812	1025
442	813	1023
443	815	1020
444	817	1019
445	818	1017
446	820	1014
447	822	1013
448	823	1010
449	825	1008
450	826	1005
451	827	1003
452	828	1000
453	830	998
454	832	996
455	834	995
456	835	993
457	837	990
458	838	988
459	840	986
460	841	983
461	842	981
462	844	979
463	845	976
464	847	975
465	850	974
466	851	971
467	853	969
468	854	967
469	855	965
470	857	962
471	858	960
472	860	958
473	861	956
474	863	954
475	865	952
476	867	950
477	868	948
478	870	947
479	872	945
480	874	943
481	875	941
482	878	940
483	880	938
484	882	936
485	883	934
486	885	932
487	886	930
488	887	927
489	889	925
490	890	923
491	894	923
492	897	922
493	899	920
494	900	918
495	902	916
496	903	914
497	905	912
498	907	911
499	909	909
500	911	907
501	912	905
502	914	903
503	915	901
504	917	898
505	918	896
506	920	894
507	922	893
508	924	891
509	926	889
510	927	888
511	929	885
512	930	883
513	932	881
514	934	879
515	936	878
516	938	876
517	939	874
518	941	872
519	942	870
520	944	868
521	945	866
522	947	863
523	948	861
524	950	860
525	952	858
526	954	856
527	956	854
528	957	852
529	960	851
530	961	849
531	963	847
532	965	845
533	968	844
534	969	842
535	971	840
536	973	838
537	974	836
538	976	834
539	977	832
540	979	830
541	981	829
542	984	828
543	986	827
544	988	825
545	991	824
546	992	822
547	994	820
548	997	819
549	999	817
550	1001	815
551	1003	814
552	1004	812
553	1006	810
554	1007	808
555	1009	806
556	1011	804
557	1013	802
558	1014	800
559	1016	798
560	1018	796
561	1019	794
562	1020	792
563	1022	790
564	1023	788
565	1025	786
566	1027	784
567	1029	782
568	1030	780
569	1032	778
570	1033	776
571	1035	774
572	1037	772
573	1038	770
574	1041	769
575	1043	767
576	1044	765
577	1046	764
578	1047	761
579	1049	759
580	1050	757
581	1052	755
